"topic","instruction","output"
"pagamento","Como posso pagar pela bebida?","Você pode pagar com cartão de crédito, débito, Pix ou dinheiro."
"pagamento","A máquina aceita cartão?","Sim, aceitamos cartões de crédito e débito."
"pagamento","Quais são as formas de pagamento disponíveis?","Pix, cartão de crédito/débito e dinheiro."
"pagamento","Consigo pagar com meu celular?,"Sim! Se o seu celular tem NFC, você pode pagar por aproximação."
"pagamento","A máquina aceita pagamento por QR Code?","Sim, basta escanear o QR Code no visor após escolher seu refrigerante."
"pagamento","Dá para pagar com nota de 2 reais?","Sim, a máquina aceita notas de R$2, R$5, R$10 e R$20."
"pagamento","A máquina devolve troco?","Sim, se você pagar com dinheiro, o troco será devolvido automaticamente."
"pagamento","Quais notas são aceitas?","Notas de R$2, R$5, R$10 e R$20 são aceitas."
"pagamento","Posso usar cartão virtual?","Sim, desde que seja compatível com aproximação ou QR Code."
"pagamento","Tem como pagar com vale-refeição?","No momento, não aceitamos vale-refeição."
"pagamento","Como funciona o pagamento com Pix?","Escolha o produto, selecione 'Pix' e escaneie o QR Code gerado."
"pagamento","A máquina aceita moedas?","Não, aceitamos apenas cédulas, cartões e Pix."
"pagamento","Posso pagar com cartão e dinheiro juntos?","Não, a máquina aceita apenas um método por transação."
"pagamento","A máquina dá recibo?","Não emitimos recibos físicos, mas você pode acompanhar pelo seu app bancário."
"pagamento","Tem limite de valor para o Pix?","Não há limite definido pela máquina, mas pode haver pelo seu banco."
"pagamento","O pagamento é seguro?","Sim, utilizamos tecnologia criptografada para proteger suas transações."
"pagamento","Consigo cancelar um pagamento?","Não é possível cancelar após a confirmação. Em caso de erro, entre em contato com o suporte."
"pagamento","Tem como pagar com cartão por aproximação?","Sim! Basta aproximar seu cartão da leitora após escolher o produto."
"pagamento","Aceita pagamento com smartwatch?","Sim, desde que seu relógio tenha suporte a pagamento por aproximação."
"pagamento","A máquina aceita boleto?","Não, aceitamos apenas métodos de pagamento instantâneos."
"pagamento","O que acontece se eu pagar duas vezes?","Se for identificado pagamento duplicado, entre em contato com o suporte para reembolso."
"pagamento","Preciso escolher a forma de pagamento antes?","Sim, após escolher o produto, você seleciona o método de pagamento."
"pagamento","Tem desconto se eu pagar com Pix?","Atualmente, não há descontos vinculados ao método de pagamento."
"pagamento","Aceita cartão internacional?","Sim, desde que o cartão esteja habilitado para transações no Brasil."
"pagamento","Quanto tempo tenho para pagar depois de escolher o produto?","Você tem até 60 segundos para concluir o pagamento."
"pagamento","Como sei que o pagamento foi aprovado?","O visor da máquina mostra a confirmação e inicia a liberação do produto."
"pagamento","E se o visor apagar durante o pagamento?","Aguarde alguns segundos. Se não voltar, evite pagar e contate o suporte."
"pagamento","A máquina tem leitor de chip e tarja?","Sim, temos leitor para chip, tarja magnética e pagamento por aproximação."
"pagamento","Preciso colocar a senha do cartão?","Sim, para pagamentos com chip ou tarja será solicitado o PIN."
"pagamento","Tem como parcelar o valor?","Não. Todas as transações são feitas à vista."
"pagamento","Oi, dá pra pagar com cartão?","Olá! Sim, aceitamos cartões de crédito e débito."
"pagamento","E aí, essa máquina pega Pix?","Sim! Pode usar Pix escaneando o QR Code que aparece no visor."
"pagamento","Preciso pagar urgente, qual o jeito mais rápido?","Recomendamos o pagamento por aproximação com cartão ou celular, que é o mais rápido."
"pagamento","Tô com pressa, posso pagar com dinheiro?","Sim, claro! A máquina aceita cédulas e dá troco automaticamente."
"pagamento",Tem como pagar no débito mesmo?,"Sim, a opção de débito está disponível na leitora de cartão."
"pagamento","Ei, dá pra usar cartão com aproximação aqui?","Dá sim! Só encostar o cartão ou celular no leitor."
"pagamento","Tô tentando pagar e não vai, o que faço?","Verifique se escolheu o produto antes. Caso o problema continue, chame o suporte."
"pagamento",Consigo pagar usando o app do meu banco?,"Sim! Se for via Pix ou QR Code, o app funciona normalmente."
"pagamento",Essa máquina aceita só cartão ou dá pra usar grana também?,"Aceitamos cartão, dinheiro e Pix. Você escolhe o melhor pra você."
"pagamento","Oi, posso usar meu relógio pra pagar?","Sim! Se seu smartwatch tiver NFC, funciona direitinho."
"pagamento",A máquina cobra alguma taxa no cartão?,"Não cobramos taxas adicionais. O valor exibido é o final."
"pagamento",É seguro mesmo pagar com cartão aqui?,"Sim, usamos tecnologia criptografada para garantir segurança total."
"pagamento","A máquina tá meio devagar, o Pix ainda funciona?","Sim, pode confiar. Às vezes há lentidão, mas o "pagamento funciona."
"pagamento","A tela apagou quando fui pagar, normal?","Pode acontecer. Aguarde um pouco ou reinicie o processo."
"pagamento","Gastei meu troco todo, posso pagar com celular?","Com certeza! Basta usar um app com função de "pagamento por aproximação."
"pagamento","Já escolhi o refri, agora como eu pago?","Após a escolha, selecione o método no visor: Pix, cartão ou dinheiro."
"pagamento",A máquina aceita PicPay ou só Pix direto?,"Aceitamos qualquer app que leia QR Code Pix, incluindo PicPay."
"pagamento","Meu cartão é internacional, dá certo?","Sim, desde que ele esteja habilitado para uso no Brasil."
"pagamento","Tenho só uma nota de 20, a máquina aceita?",Sim! A máquina aceita notas de R$2 até R$20.
"pagamento","A máquina tá sem luz, mas aceita Pix ainda?","Se o visor estiver apagado, recomendamos não tentar pagar. Pode estar fora de operação."
"pagamento","Tentei pagar com Pix, mas a máquina travou. E agora?","Desculpe pelo transtorno. Por favor, anote o número da máquina e entre em contato com nosso suporte para verificar o status do pagamento e solicitar reembolso, se necessário."
"pagamento","Fiz o Pix, mas o refrigerante não saiu.","Verifique se o pagamento foi realmente confirmado. Caso tenha sido, entre em contato com o suporte com o comprovante."
"pagamento","Aproximei o cartão e não aconteceu nada.","Tente novamente. Se o problema persistir, utilize outro método ou procure outra máquina."
"pagamento","A máquina ficou com meu dinheiro, mas não deu o troco.","Lamentamos o ocorrido. Guarde a hora e local da compra e envie uma solicitação de reembolso pelo nosso canal de atendimento."
"pagamento","A tela apagou bem na hora que eu ia pagar.","Isso pode indicar falha de energia. Evite fazer o pagamento nesse momento e informe nossa equipe."
"pagamento","Paguei com cartão e apareceu 'falha na transação', mas foi cobrado.","Em casos assim, o valor costuma ser estornado automaticamente em até 48h. Caso contrário, envie o extrato ao suporte."
"pagamento","A máquina recusou meu cartão.","Tente novamente, verificando se ele está com chip/tarja íntegros. Senão, use outro método."
"pagamento","Tentei pagar com nota, mas ela foi devolvida várias vezes.","A nota pode estar amassada ou danificada. Tente usar outra cédula ou um método digital."
"pagamento","Fiz tudo certo, mas a máquina diz que o pagamento falhou.","Pode ter ocorrido uma falha na conexão. Aguarde um momento e tente novamente."
"pagamento","Usei meu cartão de crédito e cobraram duas vezes.","Entre em contato imediatamente com nosso suporte e envie o comprovante. Vamos analisar e devolver o valor excedente."
"pagamento","O visor parou de responder depois que escolhi o refri.","Pode ser uma falha momentânea. Se o pagamento não foi efetuado, reinicie o processo."
"pagamento","O QR Code sumiu antes de eu escanear.","Espere a máquina reiniciar a operação ou cancele e comece novamente."
"pagamento","A máquina não reconheceu minha aproximação.","Verifique se o NFC está ativado no seu dispositivo. Tente um novo posicionamento."
"pagamento","Meu Pix caiu, mas nada aconteceu.","Guarde o comprovante e entre em contato com o suporte para análise."
